X6_value,predicted_profit,normalized_profit,variable,X8_value
,-1309.0562564846127,0.08574818758437956,X8,0.16673469387755102
,-1316.3357496670294,0.08010646841166387,X8,0.173265306122449
,-1323.214938165455,0.07477499152560296,X8,0.17979591836734696
,-1329.7292147875,0.06972632695596807,X8,0.1863265306122449
,-1335.9097408379453,0.06493632421230319,X8,0.19285714285714287
,-1341.7840751191147,0.060383624798961276,X8,0.19938775510204082
,-1347.376692304093,0.05604926046788891,X8,0.2059183673469388
,-1352.7094129656134,0.051916319939624166,X8,0.21244897959183676
,-1357.801762520137,0.04796967071611495,X8,0.2189795918367347
,-1362.6712725693478,0.0441957255364253,X8,0.22551020408163266
,-1367.3337352543579,0.04058224524831545,X8,0.23204081632653062
,-1371.8034190428714,0.03711817156986992,X8,0.2385714285714286
,-1376.0932526751499,0.03379348452854605,X8,0.24510204081632656
,-1380.2149826765487,0.030599080386535478,X8,0.2516326530612245
,-1384.179308811621,0.02752666666175057,X8,0.25816326530612244
,-1387.9960010400027,0.024568671485214435,X8,0.2646938775510204
,-1391.6740008873267,0.02171816503704382,X8,0.2712244897959184
,-1395.2215096275368,0.01896879120379908,X8,0.2777551020408163
,-1398.6460652576284,0.01631470792187679,X8,0.2842857142857143
,-1401.9546099102483,0.013750534931707817,X8,0.2908163265306123
,-1405.1535490770016,0.011271307878783861,X8,0.2973469387755102
,-1408.2488037927906,0.008872437869991822,X8,0.3038775510204082
,-1411.2458567490237,0.006549675735168131,X8,0.3104081632653061
,-1414.1497931531478,0.004299080360332543,X8,0.3169387755102041
,-1416.9653370275414,0.0021169905554877487,X8,0.32346938775510203
,-1419.6968835374141,0.0,X8,0.33
