perturbation,mse,mae,r2,feature
0.030612244897959162,2021128.057310943,1192.8164281721465,-3.569956417819589,X8
0.04285714285714287,2027033.5880809065,1191.6859499833702,-3.583309366013644,X8
0.055102040816326525,2033021.1356015906,1190.5752088431816,-3.5968477616240424,X8
0.06734693877551018,2039084.1176904743,1189.4836370401172,-3.610556721730748,X8
0.07959183673469389,2045216.3570908753,1188.5896363596855,-3.6244222789882894,X8
0.09183673469387754,2051412.05460475,1188.292313536203,-3.6384313208765464,X8
0.1040816326530612,2057665.7642204282,1188.2402027673534,-3.652571533462271,X8
0.1163265306122449,2063972.3700696612,1188.3852980531765,-3.666831349296853,X8
0.12857142857142856,2070327.0650635904,1188.8818862317057,-3.6811998991102826,X8
0.1408163265306122,2076725.3310709503,1189.3704576425723,-3.695666966992243,X8
0.15306122448979592,2083162.9205142015,1189.8512256904435,-3.710222948779273,X8
0.16530612244897958,2089635.8392703298,1190.32439591064,-3.7248588133919043,X8
0.17755102040816323,2096140.3307731308,1191.236696033484,-3.739566066888462,X8
0.18979591836734694,2102672.8612228157,1192.2669936533282,-3.7543367190226267,X8
0.20204081632653065,2109230.1058169613,1193.2815078176743,-3.7691632521103404,X8
0.21428571428571425,2115808.9359241985,1194.2806374404336,-3.7840385920283435,X8
0.22653061224489796,2122406.4071287825,1195.5960596066882,-3.798956081181842,X8
0.23877551020408166,2129019.7480801945,1197.4639402394596,-3.813909453292438,X8
0.25102040816326526,2135646.350087472,1199.3043293014355,-3.828892809869944,X8
0.26326530612244897,2142283.7574029625,1201.117894613362,-3.84390059824307,X8
0.2755102040816327,2148929.6581447287,1203.1769786692967,-3.858927591034133,X8
0.2877551020408163,2155581.875810969,1205.2230736247345,-3.8739688669723904,X8
0.3,2162238.3613435947,1207.2401913546587,-3.889019792949055,X8
